"",".id","Start_time","End_time","tdiff_sec","n_time","DO_mgL_mean","DO_psat_mean","WaterTempC_mean","DO_mgL_sd","DO_psat_sd","WaterTempC_sd","DO_mgL_min","DO_psat_min","WaterTempC_min","DO_mgL_max","DO_psat_max","WaterTempC_max","DOmgL_X5.","DOmgL_X10.","DOmgL_X25.","DOmgL_X50.","DOmgL_X75.","DOmgL_X90.","DOmgL_X95.","DOpsat_X5.","DOpsat_X10.","DOpsat_X25.","DOpsat_X50.","DOpsat_X75.","DOpsat_X90.","DOpsat_X95.","Temp_X5.","Temp_X10.","Temp_X25.","Temp_X50.","Temp_X75.","Temp_X90.","Temp_X95.","Hyp_pr_sub2","Hyp_pr_sub3","Hyp_pr_sub4","Hyp_pr_sub5"
"1","nwis_01021050 _TS.csv",2008-06-01 04:00:00,2016-10-01 03:45:00,3600,51506,7.86682716576709,89.5981888753811,21.6553404656039,0.651190704007453,4.71695908882656,2.73956193155243,6.2,72.397921647299,14.7,9.9,108.91669459749,27.6,6.9,7.1,7.4,7.8,8.3,8.8,9,81.4586490905999,83.2959091581796,86.63173025953,89.6528322147429,92.6581263775382,95.6699251064503,97.4741441357192,16.7,17.7,19.6,22.1,23.8,25,25.6,0,0,0,0
"2","nwis_01036390 _TS.csv",2008-06-01 04:00:00,2013-08-15 14:00:00,3600,49580,12.0223152162953,103.955808287059,10.5579930977416,2.64254691065256,3.44743049973124,9.16522100510222,7.2,88.7873169390167,0,16.5,114.716428121499,28.9,8.4,8.7,9.4,11.8,14.8,15.4,15.6,98.0976073168616,99.7171622802207,101.874507917693,103.893652072421,106.059162205183,108.400091492278,109.526592257135,0,0,0.2,9.7,19.3,23.4,24.8,0,0,0,0
"3","nwis_01104430 _TS.csv",2015-09-10 04:00:00,2016-12-31 23:45:00,900,45277,10.3014398975288,95.6376930266322,13.1676546106512,1.98285053602234,5.84903670940517,7.77979238322866,5.6,59.9894149987111,1,14.3,120.269723729484,27.6,7.4,7.7,8.4,10.2,11.8,13,13.4,86.7679182393114,88.5784134266763,91.4203076052117,95.4401772430783,99.4391410479238,103.114151699181,105.70771535083,2.8,3.5,6.3,11.9,20.7,24.8,25.7,0,0,0,0
"4","nwis_01124000 _TS.csv",2015-06-09 05:00:00,2015-09-02 22:00:00,900,19349,8.09253191379399,96.5718982731995,23.3006718693473,0.655656785854024,7.85360865749771,2.62740258209328,6.5,81.946642794345,14.6,10.2,122.765818649673,30,7,7.2,7.6,8.1,8.5,8.9,9.2,86.1888701895242,87.3300544327505,90.4446679200791,94.5558814149194,102.593598057036,108.391284205965,110.614907122341,19,19.9,21.5,23.3,25.1,26.8,27.7,0,0,0,0
"5","nwis_01125100 _TS.csv",2015-06-09 05:00:00,2015-09-02 22:00:00,900,19394,7.59853562957616,91.4891988570242,24.0223749483258,0.802387712353834,10.0004205110109,2.26617591693942,5.5,68.7699259447146,16,11.2,132.362536268937,30,6.4,6.6,7,7.6,8.2,8.6,8.9,77.8277741412781,79.496485036622,82.6703233520201,91.3600849131305,99.0573794295375,104.992088578748,108.267287206743,20,21.1,22.5,24,25.7,26.9,27.6,0,0,0,0
"6","nwis_01184000 _TS.csv",2015-06-01 04:00:00,2016-05-11 19:30:00,900,49958,10.167454661916,96.2319104235219,14.3804464017616,2.19205526438062,8.67614562926043,8.84050787081634,5.2,64.1687088093551,0.1,14.8,156.132507366932,29.5,7,7.5,8.3,9.9,12.1,13.4,13.9,83.7295357834083,87.46150624994,92.0430597532604,95.5028709383671,99.0124229232542,104.410751942116,111.947642300787,0.3,1.3,6.2,15.4,22.6,25.7,26.7,0,0,0,0
"7","nwis_01191000 _TS.csv",2016-06-01 04:00:00,2016-05-31 10:31:00,900,21545,7.32879090276166,69.4561342197777,15.5060834029906,2.87241699303399,17.0068530735192,8.16660602156131,1.7,19.8816977466035,0,14.2,107.968634134358,27.7,3.4,3.9,5.1,7,9,12,12.9,38.8669670809023,43.87523852741,57.492985780971,72.7061016960405,83.0201526665451,89.3991602190112,91.9468103303166,0.1,2.2,7.7,18.7,22.3,24.1,24.9,0.00487352053840798,0.0229751682524948,0.111394755163611,0.233836156880947
"8","nwis_01193050 _TS.csv",2014-06-01 04:00:00,2016-03-08 04:45:00,900,102952,10.8184559651917,98.6457878702101,12.8075856411859,2.54330182217369,7.03920479090654,9.72117240906601,2.1,50.3256375844553,0,15.1,154.295940636693,30.1,7.2,7.7,8.5,10.4,13.4,14.2,14.5,87.1717178016372,90.0774273975445,94.62136597578,98.7402414701783,102.449172816724,105.405917087113,108.445499288267,0,0.1,3.4,11.8,22.6,25.8,27,0,9.71213239578882e-06,9.71213239578882e-06,2.91363971873665e-05
"9","nwis_01193463 _TS.csv",2015-06-08 18:30:00,2015-09-02 22:00:00,900,10392,8.95864126250962,100.303117158562,20.353752886836,0.549189831607477,4.65717557163623,2.39626818335608,7.7,93.4510702838141,12.8,10.7,114.675045897648,26.8,8.1,8.2,8.6,8.9,9.3,9.7,9.9,94.9274249398762,95.4502229686799,96.4991089484739,98.7603205990077,103.682303307512,107.581846392767,109.391080191103,16.4,17.3,18.7,20.4,22,23.4,24.1,0,0,0,0
"10","nwis_01195510 _TS.csv",2015-06-11 05:00:00,2015-09-02 22:00:00,900,17827,6.76277556515398,75.3407274805995,20.0236551298592,0.825024363611032,8.53164045530882,1.94418375639034,4.3,49.2404395067221,12.2,9.2,102.31416018213,26.4,5.3,5.6,6.2,6.8,7.3,7.8,8.1,60.6509177808513,64.4925086095697,69.8599393170348,75.3519907211521,80.7080947302711,86.4341825070797,90.0047519284226,16.7,17.7,18.8,20,21.3,22.5,23.1,0,0,0,0.0170527851012509
